,anio,poblacion
0,2002,41837894
1,2003,42717064
2,2004,43396574
3,2005,44108530
4,2006,44708964
5,2007,45200737
6,2008,45668938
7,2009,46239271
8,2010,46486621
9,2011,46667175
10,2012,46818216
11,2013,46727890
12,2014,46512199
13,2015,46384379
14,2016,46440099
15,2017,46527039
16,2018,46658447
17,2019,46937060
18,2020,47431256
19,2021,47450795
20,2022,47615034
21,2023,48085361
