,0,1,2
0,Valor,,
1,Atributos estándar,Etiqueta,Región
2,Formato,F2,
3,Valores válidos,1,Región Cibao Norte
4,2,Región Cibao Sur,
5,3,Región Cibao Nordeste,
6,4,Región Cibao Noroeste,
7,5,Región Valdesia,
8,6,Región Enriquillo,
9,7,Región El Valle,
10,8,Región Yuma,
11,9,Región Higuamo,
12,10,Región Ozama,
13,99,No declarada,
14,,,
