,0,1,2
0,Valor,,
1,Atributos estándar,Etiqueta,Día de la semana
2,Formato,F1,
3,Valores válidos,1,Lunes
4,2,Martes,
5,3,Miércoles,
6,4,Jueves,
7,5,Viernes,
8,6,Sábado,
9,7,Domingo,
10,9,No declarado,
11,,,
