,0,1,2
0,Valor,,
1,Atributos estándar,Etiqueta,Rango de hora de ocurrencia
2,Formato,F2,
3,Valores válidos,1,00:01-02:00
4,2,02:01-04:00,
5,3,04:01-06:00,
6,4,06:01-08:00,
7,5,08:01-10:00,
8,6,10:01-12:00,
9,7,12:01-14:00,
10,8,14:01-16:00,
11,9,16:01-18:00,
12,10,18:01-20:00,
13,11,20:01-22:00,
14,12,22:01-24:00,
15,99,No declarada,
16,,,
