,Valor,Significado
0,1,Autopista
1,2,Avenida
2,3,Calle
3,4,Carretera
4,5,Elevado
5,6,Tunel
6,7,Puente
7,8,Vía férrea
8,9,Autovía
9,10,Bulevar
10,11,Cruce
11,12,Camino vecinal
12,13,Otras
13,99,No declarada
