,anio,infracciones,total,porcentaje
0,2010,violar la luz roja,31531,10.125106771050756
1,2010,transitar sin casco,45466,14.599857424521698
2,2010,transitar sin cinturon,31331,10.060883582626342
3,2010,hablar por celular,29876,9.593659886838742
4,2010,via contraria,38764,12.447738380419635
5,2010,conducir sin licencia y/o vencida,25880,8.31048058211898
6,2010,conducir sin licencia y/o vencida,30342,9.743299915867624
7,2010,via contraria,16546,5.3131843783516475
8,2010,obstruir el transito,24540,7.880185219675416
9,2010,estacionarse en lugares prohibidos,17564,5.640080407431907
10,2010,giro prohibido,19574,6.285523451097254
11,2011,violar la luz roja,43938,14.274111807053563
12,2011,transitar sin casco,20561,6.6796397848065086
13,2011,transitar sin cinturon,42142,13.690646360163214
14,2011,hablar por celular,32657,10.609260077448864
15,2011,via contraria,37645,12.229708657119838
16,2011,conducir sin licencia y/o vencida,15765,5.121566130415573
17,2011,conducir sin licencia y/o vencida,31779,10.324024742053695
18,2011,via contraria,15456,5.021181485043013
19,2011,obstruir el transito,15768,5.122540738623074
20,2011,estacionarse en lugares prohibidos,21372,6.943108870234166
21,2011,giro prohibido,30733,9.98421134703849
22,2012,violar la luz roja,57284,15.989058531275296
23,2012,transitar sin casco,23871,6.662852038965027
24,2012,transitar sin cinturon,61606,17.195411281994026
25,2012,hablar por celular,37324,10.417841292879672
26,2012,via contraria,38756,10.817539844251542
27,2012,conducir sin licencia y/o vencida,18756,5.235157841851118
28,2012,conducir sin licencia y/o vencida,27657,7.719596952019427
29,2012,via contraria,13232,3.6933039327881207
30,2012,obstruir el transito,40655,11.347587015379462
31,2012,estacionarse en lugares prohibidos,15676,4.3754710134814525
32,2012,giro prohibido,23453,6.546180255114857
33,2013,violar la luz roja,43929,11.281636426672831
34,2013,transitar sin casco,64290,16.51065141184175
35,2013,transitar sin cinturon,54102,13.894217805000192
36,2013,hablar por celular,28247,7.2542599226986155
37,2013,via contraria,39987,10.269270773142262
38,2013,conducir sin licencia y/o vencida,22647,5.816094610732309
39,2013,conducir sin licencia y/o vencida,27657,7.102738934473593
40,2013,via contraria,25435,6.532095483904104
41,2013,obstruir el transito,44210,11.353801507505425
42,2013,estacionarse en lugares prohibidos,14345,3.6840145357422602
43,2013,giro prohibido,24536,6.301218588286657
44,2014,violar la luz roja,66462,15.512955472201927
45,2014,transitar sin casco,67628,15.785112585749332
46,2014,transitar sin cinturon,65821,15.363339083021923
47,2014,hablar por celular,27898,6.511697387431757
48,2014,via contraria,40509,9.455242292188437
49,2014,conducir sin licencia y/o vencida,21736,5.073419399713838
50,2014,conducir sin licencia y/o vencida,32546,7.596591267164454
51,2014,via contraria,15678,3.6594161459658427
52,2014,obstruir el transito,50948,11.891818714419426
53,2014,estacionarse en lugares prohibidos,21334,4.979588216483945
54,2014,giro prohibido,17869,4.1708194356591175
55,2015,violar la luz roja,71981,14.34536004400405
56,2015,transitar sin casco,122494,24.412282869510456
57,2015,transitar sin cinturon,62345,12.424965920776767
58,2015,hablar por celular,34567,6.888985435616177
59,2015,via contraria,41022,8.175426289230964
60,2015,conducir sin licencia y/o vencida,20463,4.078147046865907
61,2015,conducir sin licencia y/o vencida,40032,7.9781255231459705
62,2015,via contraria,21632,4.311121385808693
63,2015,obstruir el transito,48598,9.685275384038967
64,2015,estacionarse en lugares prohibidos,20145,4.014771649274969
65,2015,giro prohibido,18493,3.6855384517270795
66,2016,violar la luz roja,43917,14.796284504280502
67,2016,transitar sin casco,70808,23.856258696611647
68,2016,transitar sin cinturon,32709,11.020144132124484
69,2016,hablar por celular,18765,6.322205039570636
70,2016,via contraria,27962,9.42080987564477
71,2016,conducir sin licencia y/o vencida,10536,3.5497336689004113
72,2016,conducir sin licencia y/o vencida,17656,5.948566596251487
73,2016,via contraria,16548,5.575265067669325
74,2016,obstruir el transito,21893,7.376074336867569
75,2016,estacionarse en lugares prohibidos,25694,8.656687252157097
76,2016,giro prohibido,10323,3.4779708299220715
77,2017,violar la luz roja,62897,11.975066303907028
78,2017,transitar sin casco,140033,26.661119922015565
79,2017,transitar sin cinturon,53885,10.259256368126145
80,2017,hablar por celular,29034,5.527832409616304
81,2017,via contraria,40036,7.622521814128206
82,2017,conducir sin licencia y/o vencida,16306,3.104526943280411
83,2017,conducir sin licencia y/o vencida,29446,5.606273787062123
84,2017,via contraria,40036,7.622521814128206
85,2017,obstruir el transito,45556,8.67348395854792
86,2017,estacionarse en lugares prohibidos,51302,9.76747462554714
87,2017,giro prohibido,16702,3.179922053640956
