,anio,infracciones,total
233,2020,otros,30
234,2020,otros,323
235,2020,otros,3782
236,2020,otros,1606
237,2020,otros,2219
238,2020,otros,52
239,2020,otros,541
240,2020,otros,244
241,2020,otros,0
242,2020,otros,37
243,2020,otros,2319
244,2020,otros,5513
245,2020,violar la luz roja,60072
246,2020,otros,332
247,2020,otros,46
248,2020,otros,1676
249,2020,otros,2779
250,2020,otros,376
251,2020,otros,6103
252,2020,otros,171
253,2020,otros,112
254,2020,otros,2031
255,2020,otros,116
256,2020,otros,243
257,2020,obstruir el transito,19278
258,2020,otros,160
259,2020,otros,12
260,2020,otros,615
261,2020,otros,99
262,2020,otros,22532
263,2020,otros,642
264,2020,otros,261
265,2020,otros,10736
266,2020,otros,244
267,2020,otros,6880
268,2020,otros,50
269,2020,otros,454
270,2020,otros,93
271,2020,otros,40
272,2020,otros,4315
273,2020,otros,96
274,2020,otros,58
275,2020,otros,600
276,2020,otros,31
277,2020,otros,69
278,2020,otros,21
279,2020,otros,1693
280,2020,otros,64
281,2020,otros,265
282,2020,otros,229
283,2020,otros,134
284,2020,conducir sin licencia y/o vencida,35822
285,2020,otros,45901
286,2020,otros,419
287,2020,otros,3898
288,2020,hablar por celular,16156
289,2020,otros,808
290,2020,otros,19
291,2020,otros,114
292,2020,otros,60
293,2020,otros,9
294,2020,otros,96
295,2020,otros,147
296,2020,transitar sin cinturon,31555
297,2020,otros,178
298,2020,otros,7440
299,2020,otros,6832
300,2020,otros,257
301,2020,giro prohibido,14730
302,2020,otros,124
303,2020,estacionarse en lugares prohibidos,25404
304,2020,otros,150
305,2020,otros,13
306,2020,otros,54
307,2020,otros,38
308,2020,otros,36
309,2020,otros,5060
310,2020,otros,105
311,2020,otros,92
312,2020,otros,141
313,2020,transitar sin casco,178142
314,2020,otros,3926
315,2020,via contraria,21901
316,2020,otros,5336
317,2020,otros,197
318,2020,otros,15
319,2020,otros,214
320,2020,otros,9
321,2020,otros,28458
322,2020,otros,47
323,2020,otros,78
324,2020,otros,133
325,2020,otros,12
326,2020,otros,11049
327,2020,otros,2865
328,2020,otros,4353
329,2020,otros,1310
330,2020,otros,37
331,2021,otros,227
332,2021,otros,45
333,2021,otros,712
334,2021,otros,82
335,2021,otros,1363
336,2021,otros,5082
337,2021,otros,1484
338,2021,otros,2534
339,2021,otros,120
340,2021,otros,1745
341,2021,otros,331
342,2021,otros,134
343,2021,otros,166
344,2021,otros,4198
345,2021,otros,9232
346,2021,violar la luz roja,160381
347,2021,otros,587
348,2021,otros,187
349,2021,otros,1169
350,2021,otros,2367
351,2021,otros,232
352,2021,otros,22907
353,2021,otros,101
354,2021,otros,283
355,2021,otros,3395
356,2021,otros,368
357,2021,otros,469
358,2021,obstruir el transito,45511
359,2021,otros,447
360,2021,otros,41
361,2021,otros,9248
362,2021,otros,157
363,2021,otros,43217
364,2021,otros,1057
365,2021,otros,223
366,2021,otros,28808
367,2021,otros,168
368,2021,otros,25400
369,2021,otros,204
370,2021,otros,1116
371,2021,otros,373
372,2021,otros,302
373,2021,otros,7175
374,2021,otros,309
375,2021,otros,114
376,2021,otros,3127
377,2021,otros,57
378,2021,otros,188
379,2021,otros,41
380,2021,otros,1892
381,2021,otros,56
382,2021,otros,250
383,2021,otros,200
384,2021,otros,294
385,2021,conducir sin licencia y/o vencida,104497
386,2021,otros,116138
387,2021,otros,646
388,2021,otros,9561
389,2021,hablar por celular,51606
390,2021,otros,527
391,2021,otros,43
392,2021,otros,131
393,2021,otros,42
394,2021,otros,3
395,2021,otros,279
396,2021,otros,389
397,2021,transitar sin cinturon,100229
398,2021,otros,180
399,2021,otros,17697
400,2021,otros,19564
401,2021,otros,373
402,2021,giro prohibido,41623
403,2021,otros,377
404,2021,estacionarse en lugares prohibidos,42059
405,2021,otros,245
406,2021,otros,39
407,2021,otros,21
408,2021,otros,154
409,2021,otros,116
410,2021,otros,14106
411,2021,otros,500
412,2021,otros,96
413,2021,otros,1687
414,2021,transitar sin casco,395468
415,2021,otros,19814
416,2021,via contraria,39215
417,2021,otros,10188
418,2021,otros,382
419,2021,otros,61
420,2021,otros,212
421,2021,otros,44
422,2021,otros,92496
423,2021,otros,370
424,2021,otros,98
425,2021,otros,541
426,2021,otros,37
427,2021,otros,32341
428,2021,otros,7572
429,2021,otros,6525
430,2021,otros,3819
431,2021,otros,214
432,2022,otros,231
433,2022,otros,113
434,2022,otros,444
435,2022,otros,118
436,2022,otros,3132
437,2022,otros,7393
438,2022,otros,2594
439,2022,otros,1879
440,2022,otros,60
441,2022,otros,2474
442,2022,otros,801
443,2022,otros,123
444,2022,otros,79
445,2022,otros,4162
446,2022,otros,16412
447,2022,violar la luz roja,178461
448,2022,otros,743
449,2022,otros,148
450,2022,otros,1120
451,2022,otros,2779
452,2022,otros,647
453,2022,otros,24931
454,2022,otros,936
455,2022,otros,83
456,2022,otros,6085
457,2022,otros,205
458,2022,otros,3513
459,2022,obstruir el transito,42895
460,2022,otros,56
461,2022,otros,118
462,2022,otros,6599
463,2022,otros,48
464,2022,otros,51465
465,2022,otros,457
466,2022,otros,163
467,2022,otros,41373
468,2022,otros,600
469,2022,otros,53237
470,2022,otros,325
471,2022,otros,1399
472,2022,otros,225
473,2022,otros,188
474,2022,otros,6396
475,2022,otros,259
476,2022,otros,46
477,2022,otros,4072
478,2022,otros,57
479,2022,otros,175
480,2022,otros,67
481,2022,otros,2435
482,2022,otros,119
483,2022,otros,194
484,2022,otros,316
485,2022,otros,482
486,2022,conducir sin licencia y/o vencida,172724
487,2022,otros,176513
488,2022,otros,1233
489,2022,otros,16666
490,2022,hablar por celular,72092
491,2022,otros,468
492,2022,otros,152
493,2022,otros,151
494,2022,otros,169
495,2022,otros,103
496,2022,otros,273
497,2022,otros,582
498,2022,transitar sin cinturon,144291
499,2022,otros,686
500,2022,otros,31175
501,2022,otros,20858
502,2022,otros,261
503,2022,giro prohibido,48219
504,2022,otros,304
505,2022,estacionarse en lugares prohibidos,45144
506,2022,otros,253
507,2022,otros,60
508,2022,otros,118
509,2022,otros,247
510,2022,otros,249
511,2022,otros,19397
512,2022,otros,1407
513,2022,otros,298
514,2022,otros,1945
515,2022,transitar sin casco,447986
516,2022,otros,23030
517,2022,via contraria,58488
518,2022,otros,12885
519,2022,otros,637
520,2022,otros,222
521,2022,otros,335
522,2022,otros,164
523,2022,otros,170879
524,2022,otros,59
525,2022,otros,86
526,2022,otros,2916
527,2022,otros,156
528,2022,otros,59098
529,2022,otros,8211
530,2022,otros,6716
531,2022,otros,2590
532,2022,otros,2204
533,2023,otros,36
534,2023,otros,57
535,2023,otros,137
536,2023,otros,36
537,2023,otros,3826
538,2023,otros,5220
539,2023,otros,1414
540,2023,otros,2958
541,2023,otros,39
542,2023,otros,1552
543,2023,otros,111
544,2023,otros,29
545,2023,otros,33
546,2023,otros,3401
547,2023,otros,13504
548,2023,violar la luz roja,147291
549,2023,otros,209
550,2023,otros,114
551,2023,otros,4380
552,2023,otros,12002
553,2023,otros,269
554,2023,otros,9343
555,2023,otros,842
556,2023,otros,63
557,2023,otros,3029
558,2023,otros,186
559,2023,otros,4038
560,2023,obstruir el transito,26522
561,2023,otros,135
562,2023,otros,68
563,2023,otros,1111
564,2023,otros,141
565,2023,otros,34396
